Name,Team,Age,W,L,SV,G,GS,IP,WAR,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP
Jonathan Loáisiga,NYY,29,1,0,0,3,0,4,0.1,6.8,2.3,0.0,0.438,100%,56%,0.00,98.5,0.00,4.28,2.42,3.17
Craig Kimbrel,BAL,36,7,5,23,57,0,52.1,0.1,12.6,5.3,1.2,0.284,62%,32%,0.13,94.0,5.33,4.22,4.18,4.00
John Brebbia,- - -,34,0,6,2,59,0,55.1,0.1,10.9,3.1,1.8,0.317,67%,30%,0.16,94.0,5.86,4.8,4.52,3.82
Matt Barnes,WSN,34,0,0,0,14,0,13.1,0.1,6.8,2.7,0.7,0.333,48%,42%,0.06,91.8,6.75,5.81,3.54,4.61
Carlos Carrasco,CLE,37,3,10,0,21,21,103.2,0.1,7.7,2.9,1.6,0.309,66%,47%,0.17,91.8,5.64,4.65,4.93,4.18
Phil Maton,- - -,31,3,3,3,71,0,64,0.1,8.4,3.4,1.0,0.242,75%,47%,0.11,,3.66,4.28,4.26,4.28
José Ureña,TEX,32,5,8,1,33,9,109,0.1,5.8,3.2,1.1,0.273,75%,50%,0.12,96.6,3.80,4.34,4.62,4.61
Tommy Kahnle,NYY,34,0,2,1,50,0,42.2,0.1,9.7,4.0,1.1,0.234,80%,59%,0.17,94.0,2.11,3.2,4.01,3.55
Scott Alexander,OAK,34,1,3,0,45,0,38.2,0.1,7.2,3.5,0.7,0.257,78%,60%,0.11,,2.56,3.97,3.89,3.94
Trevor Richards,- - -,31,2,2,1,55,2,65.1,0.1,8.5,4.8,1.0,0.216,63%,35%,0.08,92.4,4.55,3.59,4.36,4.96
Jordan Lyles,KCR,33,0,0,0,5,0,5,0,5.4,3.6,0.0,0.143,100%,43%,0.00,90.8,0.00,3.99,3.17,5.59
Scott Barlow,CLE,31,3,3,2,63,0,55,0,11.1,5.1,1.0,0.288,74%,47%,0.14,91.6,4.25,4.08,4.02,3.78
Diego Castillo,MIN,30,0,0,0,7,0,10,0,5.4,7.2,0.0,0.276,81%,52%,0.00,96.7,2.70,3.72,4.37,6.18
Héctor Neris,- - -,35,10,5,18,62,0,59.1,0,9.7,4.2,1.2,0.297,73%,40%,0.12,93.2,4.10,4.34,4.28,4.23
Austin Voth,SEA,32,2,5,0,68,0,61,0,9.0,2.7,1.3,0.236,66%,35%,0.13,93.7,3.69,3.27,4.12,3.93
Austin Adams,OAK,33,1,2,0,56,0,41.1,0,11.5,5.0,0.9,0.347,79%,37%,0.10,93.6,3.92,4.05,4.47,4.64
Dakota Hudson,COL,29,2,12,0,18,18,89,0,5.0,5.1,1.1,0.304,63%,52%,0.13,90.2,6.17,5.93,5.53,5.41
Ryne Stanek,- - -,32,7,3,7,63,0,55.1,0,10.9,4.1,1.3,0.290,68%,33%,0.11,97.9,4.88,3.46,4.14,4.18
Kyle Finnegan,WSN,32,3,8,38,65,0,63.2,0,8.5,3.4,1.3,0.292,75%,46%,0.15,97.4,3.68,4.31,4.25,3.81
Joey Lucchesi,NYM,31,0,2,0,2,2,10.1,0,6.1,7.0,0.9,0.233,68%,45%,0.08,90.0,5.23,6.04,5.39,5.89
