Name,Team,Season,Age,W,L,IP,WAR,ERA,xERA,FIP,xFIP,AVG,WHIP,BABIP,K%,BB%,LOB%,LD%,GB%,FB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Barrel%,K/9,BB/9,K/BB,HR/9,GB/FB,HR/FB,EV,LA,,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc)
Edward Cabrera,MIA,2024,26,4,8,96.1,0.6,4.95,4.68,4.68,3.94,0.226,1.37,0.278,26%,12%,66%,21%,47%,32%,46%,34%,20%,14%,52%,35%,9%,10,4.7,2.1,1.4,1.5,0.2,89.7,10,,27%,,,,,9%,0.08545035,22%,,,33%,,,,96.3,,,,,96.7,89.2,84.8,,,93.0,,,-5.66,,,,,-9.35,0.37,4.35,,,-9.47,,,9.16,,,,,6.66,2.22,-2.77,,,4.52,,,-7.74,,,,,0.12,2.44,-0.12,,,0.85,,
Frankie Montas,MIL,2024,31,7,11,150.2,1.4,4.84,4.71,4.71,4.26,0.24,1.37,0.282,23%,10%,69%,21%,42%,38%,38%,39%,24%,15%,54%,31%,9%,8.8,3.9,2.2,1.4,1.1,0.1,89.3,13.5,,33%,,19%,18%,,19%,0.10672237,,,,,,,,95.6,,90.4,86.0,,94.8,85.4,,,,,,,-3.24,,0.77,-5.60,,-8.24,3.85,,,,,,,8.97,,3.58,1.77,,5.65,2.35,,,,,,,-0.21,,-6.89,-1.12,,5.68,-5.46,,,,,,
Tyler Alexander,TBR,2024,29,6,5,107.2,-0.6,5.1,4.71,5.08,4.63,0.258,1.24,0.278,20%,5%,73%,18%,31%,50%,37%,35%,28%,15%,49%,35%,10%,7.5,2,3.8,1.9,0.6,0.1,88.4,21,,22%,,32%,,,13%,0.191247,,,,14%,,,,89.6,,85.0,,,89.7,77.8,,,,81.3,,,5.62,,-1.56,,,9.77,-8.54,,,,8.62,,,10.09,,4.46,,,6.66,1.82,,,,3.46,,,-0.74,,-2.64,,,-2.23,4.57,,,,-6.70,,
Griffin Canning,LAA,2024,28,6,13,171.2,0.2,5.19,4.71,5.26,4.75,0.261,1.4,0.283,18%,9%,70%,20%,41%,39%,43%,34%,23%,13%,50%,37%,9%,6.8,3.5,2,1.6,1,0.1,90.5,14.3,,38%,,,,,1%,0.24015336,11%,,,27%,,,,93.4,,,,,93.0,87.7,80.6,,,88.6,,,-5.09,,,,,-8.56,-0.66,6.53,,,-9.80,,,9.40,,,,,7.80,-0.32,-3.43,,,2.77,,,-9.17,,,,,-1.91,-6.27,-2.66,,,3.66,,
Casey Mize,DET,2024,27,2,6,102.1,1.3,4.49,4.71,3.95,4.04,0.287,1.47,0.331,17%,6%,70%,21%,49%,30%,41%,37%,23%,15%,52%,34%,8%,6.9,2.6,2.7,1,1.7,0.1,90.6,9.3,,39%,,,18%,,8%,0.27724986,,7%,,,,,,95.5,,,86.2,,95.5,85.7,,79.6,,,,,-5.02,,,-8.17,,-8.58,1.31,,4.38,,,,,9.43,,,2.41,,7.16,0.23,,-6.96,,,,,-3.26,,,-3.45,,1.87,-2.30,,-2.96,,,,
Hayden Birdsong,SFG,2024,22,5,6,72,0.1,4.75,4.71,4.67,4.21,0.213,1.39,0.272,28%,14%,73%,19%,40%,41%,39%,37%,24%,10%,48%,42%,9%,11,5.4,2,1.4,1,0.2,92,13.8,,45%,,,,,,0.18371758,19%,,,18%,,,,95.8,,,,,,86.4,80.5,,,88.1,,,-5.76,,,,,,0.40,2.86,,,-6.58,,,9.64,,,,,,0.94,-7.43,,,-0.69,,,-0.14,,,,,,-0.67,2.13,,,-2.22,,
James Paxton,BOS,2024,35,9,3,100.1,0.7,4.4,4.74,4.79,5.21,0.246,1.45,0.276,17%,11%,72%,20%,37%,43%,33%,40%,27%,14%,50%,35%,8%,6.5,4.5,1.5,1.1,0.9,0.1,90.5,16,,55%,,3%,,,5%,,,30%,,7%,,,,93.2,,84.0,,,92.8,,,80.8,,82.6,,,6.71,,-0.19,,,8.93,,,0.09,,8.39,,,8.00,,1.63,,,5.75,,,-2.42,,5.45,,,-1.99,,-1.79,,,-0.86,,,2.95,,-2.37,,
José Berríos,TOR,2024,30,16,11,192.1,1,3.6,4.74,4.72,4.25,0.234,1.15,0.256,19%,7%,81%,20%,43%,37%,42%,32%,26%,15%,50%,35%,8%,7.2,2.5,2.8,1.5,1.2,0.1,89.6,13.4,,18%,,3%,,,34%,,29%,,,16%,,,,94.1,,91.4,,,93.4,,83.2,,,84.8,,,-6.00,,-1.57,,,-9.61,,7.88,,,-8.83,,,8.63,,6.60,,,6.64,,-2.66,,,2.89,,,-6.70,,-1.85,,,9.98,,2.34,,,4.11,,
Ross Stripling,OAK,2024,34,2,11,85.1,1.1,6.01,4.77,3.89,4.74,0.304,1.54,0.338,13%,6%,55%,25%,39%,35%,36%,34%,30%,17%,52%,30%,7%,5.2,2.3,2.2,0.7,1.1,0.1,88.3,13.6,,30%,,16%,,,14%,0.13402062,,9%,,18%,,,,91.7,,87.5,,,90.2,84.7,,76.3,,82.7,,,-3.12,,0.34,,,-8.26,0.94,,3.37,,-5.45,,,10.74,,6.12,,,7.51,2.14,,-7.26,,6.97,,,-0.20,,1.45,,,-1.30,-3.45,,-1.28,,-4.47,,
Kevin Gausman,TOR,2024,33,14,11,181,2.9,3.83,4.77,3.77,4.22,0.236,1.22,0.281,21%,7%,70%,20%,38%,42%,42%,32%,26%,14%,50%,36%,10%,8.1,2.8,2.9,1,0.9,0.1,90.2,16.1,,53%,,,33%,,5%,0.08368201,,,,,,,,93.9,,,86.0,,93.3,82.7,,,,,,,-6.92,,,-9.78,,-9.48,-0.17,,,,,,,9.98,,,3.95,,7.28,2.44,,,,,,,6.54,,,4.93,,-5.01,-2.89,,,,,,
Carson Fulmer,LAA,2024,30,0,5,86.2,0.3,4.15,4.77,4.5,4.56,0.243,1.4,0.289,21%,11%,73%,20%,41%,39%,43%,36%,21%,12%,52%,36%,9%,8.4,4.2,2,1.1,1,0.1,90.6,13,,23%,,,,,24%,0.20380435,6%,,,27%,,,,93.1,,,,,92.6,87.0,82.4,,,87.8,,,-5.26,,,,,-9.37,2.47,2.86,,,-9.03,,,9.53,,,,,5.92,2.62,-3.49,,,2.21,,,0.66,,,,,1.36,3.66,-6.34,,,-2.53,,
Kyle Hendricks,CHC,2024,34,4,12,130.2,0.4,5.92,4.8,4.98,4.59,0.282,1.45,0.305,15%,8%,64%,21%,45%,34%,41%,35%,23%,19%,52%,29%,7%,6,3,2,1.4,1.3,0.1,85.9,13,,13%,,,,,36%,,13%,,,39%,,,,87.7,,,,,87.6,,74.3,,,80.9,,,-4.12,,,,,-8.28,,7.63,,,-6.79,,,8.22,,,,,4.21,,-6.10,,,4.92,,,-4.10,,,,,-5.81,,1.46,,,-5.98,,
John Brebbia,ATL,2024,34,0,6,55.1,0.1,5.86,4.8,4.52,3.82,0.255,1.36,0.317,28%,8%,67%,25%,30%,45%,36%,38%,26%,14%,50%,37%,10%,10.9,3.1,3.5,1.8,0.7,0.2,88.8,19.7,,48%,,,,,,0.51863041,,,,0%,,,,93.9,,,,,,83.1,,,,91.6,,,-6.08,,,,,,4.57,,,,-6.68,,,10.18,,,,,,0.49,,,,9.45,,,6.93,,,,,,-11.56,,,,0.08,,
Chris Flexen,CHW,2024,29,3,15,160,1.3,4.95,4.8,4.8,5.03,0.28,1.52,0.315,17%,9%,71%,19%,36%,45%,41%,34%,25%,15%,54%,31%,8%,6.9,3.5,2,1.4,0.8,0.1,88.7,17.3,,37%,,26%,,,0%,0.08714286,12%,,,16%,,,,91.3,,87.4,,,91.4,80.0,72.0,,,81.3,,,-0.93,,4.17,,,-4.29,6.01,4.22,,,-6.63,,,10.84,,4.76,,,12.17,-1.24,-8.97,,,5.98,,,-6.58,,-5.52,,,0.12,-6.46,1.47,,,-5.80,,
Chris Paddack,MIN,2024,28,5,3,88.1,1,4.99,4.8,4.19,4.09,0.282,1.39,0.327,21%,5%,71%,22%,37%,41%,35%,42%,23%,14%,55%,31%,10%,8,2.1,3.8,1.4,0.9,0.1,90.4,14.3,,43%,,,,,,0.17671233,14%,,,26%,,,,93.3,,,,,,85.9,78.2,,,82.9,,,-6.82,,,,,,0.24,2.97,,,-9.50,,,10.00,,,,,,3.24,-7.31,,,2.97,,,3.93,,,,,,-0.55,-3.36,,,-5.70,,
Max Meyer,MIA,2024,25,3,5,57,-0.3,5.68,4.8,5.9,4.43,0.274,1.42,0.289,19%,8%,71%,14%,50%,36%,49%,32%,19%,14%,51%,35%,14%,7.3,3,2.4,2.2,1.4,0.2,90.6,10.1,,39%,,,,,2%,0.40702479,,,,18%,,,,94.1,,,,,92.7,88.2,,,,86.7,,,-2.70,,,,,-8.10,0.60,,,,-8.18,,,8.85,,,,,5.77,0.04,,,,4.76,,,-8.72,,,,,-0.28,-0.83,,,,-4.29,,
José Suarez,LAA,2024,26,1,2,52.1,0.1,6.02,4.84,4.54,4.42,0.273,1.61,0.342,23%,11%,64%,23%,41%,37%,45%,32%,23%,20%,46%,34%,8%,9.6,4.6,2.1,1.2,1.1,0.1,89,13.4,,40%,,2%,,,9%,0.24924012,0%,,,25%,,,,93.0,,88.7,,,91.8,81.9,74.1,,,82.9,,,4.97,,-0.76,,,9.13,-4.12,-7.13,,,8.47,,,10.27,,5.69,,,7.74,1.71,-7.83,,,2.56,,,-3.65,,-0.89,,,-6.18,2.27,-0.02,,,-2.85,,
Jared Shuster,CHW,2024,25,2,5,73.1,0.2,4.3,4.84,4.58,5.09,0.257,1.46,0.291,17%,10%,73%,21%,34%,44%,40%,31%,28%,15%,59%,26%,7%,6.9,4.1,1.7,1.1,0.8,0.1,87.5,17.6,,38%,,,,,5%,0.28449612,,,,29%,,,,92.5,,,,,91.8,86.0,,,,84.1,,,6.41,,,,,7.86,-0.52,,,,7.57,,,8.56,,,,,6.08,3.25,,,,5.60,,,-2.64,,,,,-0.50,1.79,,,,-1.86,,
Kyle Harrison,SFG,2024,22,7,7,124.1,0.8,4.56,4.84,4.33,4.23,0.259,1.34,0.308,22%,8%,73%,19%,41%,40%,33%,39%,28%,14%,51%,35%,10%,8.5,3,2.8,1.3,1,0.1,90.7,14.9,,58%,,,,,,0.00288739,22%,,,20%,,,,92.5,,,,,,88.2,80.6,,,84.8,,,8.93,,,,,,1.58,-4.44,,,9.90,,,5.94,,,,,,2.20,-2.96,,,0.44,,,2.43,,,,,,-0.70,-1.04,,,-6.72,,
Colin Rea,MIL,2024,33,12,6,167.2,0.9,4.29,4.87,4.75,4.42,0.256,1.26,0.282,19%,6%,77%,21%,39%,41%,46%,30%,24%,14%,53%,33%,9%,7.2,2.3,3.1,1.6,1,0.1,90.4,15.2,,19%,,19%,9%,,31%,0.17169811,4%,,,,,,,92.9,,87.6,86.5,,92.3,82.0,78.7,,,,,,-4.31,,0.67,-8.42,,-8.56,6.60,5.09,,,,,,7.92,,4.20,2.56,,5.38,-0.34,-5.30,,,,,,2.50,,-6.90,-4.68,,-2.32,6.43,-4.08,,,,,
Jacob Barnes,WSN,2024,34,8,3,66,0,4.36,4.87,4.38,4.17,0.261,1.32,0.297,20%,7%,70%,24%,38%,38%,36%,38%,26%,14%,57%,29%,6%,7.5,2.7,2.8,1.4,1,0.1,89,12.8,,47%,,49%,,,,0.03670546,,,,,,,,95.4,,89.8,,,,83.7,,,,,,,-1.59,,2.29,,,,2.80,,,,,,,9.65,,4.53,,,,-0.21,,,,,,,-2.55,,3.52,,,,0.68,,,,,,
Marcus Stroman,NYY,2024,33,10,9,154.2,1,4.31,4.87,4.62,4.5,0.275,1.47,0.312,17%,9%,74%,20%,49%,31%,40%,39%,21%,15%,53%,32%,7%,6.6,3.5,1.9,1.1,1.6,0.1,89.3,9.9,,3%,,18%,11%,,35%,0.15951843,16%,,,,,,,89.9,,88.1,83.3,,90.0,85.3,81.3,,,,,,-4.11,,0.13,-8.72,,-5.95,1.99,8.39,,,,,,6.19,,3.22,2.29,,1.89,-1.09,-1.07,,,,,,-3.37,,-1.27,-0.90,,-0.26,-10.03,-0.15,,,,,
Victor Vodnik,COL,2024,24,5,4,73.2,0.3,4.28,4.87,4.18,4.14,0.255,1.48,0.31,20%,12%,73%,19%,54%,27%,32%,41%,27%,16%,42%,42%,8%,7.9,4.5,1.8,0.9,2,0.1,91.2,4.6,,63%,,,,,,0.20360631,,,,16%,,,,97.9,,,,,,84.7,,,,90.0,,,-4.25,,,,,,0.90,,,,-8.04,,,8.07,,,,,,-1.99,,,,0.30,,,-4.62,,,,,,-0.82,,,,5.04,,
Carson Spiers,CIN,2024,26,5,7,90.2,0.1,5.46,4.87,5.33,4.65,0.296,1.53,0.331,20%,7%,73%,20%,35%,45%,41%,32%,27%,19%,47%,34%,10%,7.9,2.7,3,2,0.8,0.2,88.9,17.4,,30%,,16%,,,18%,0.24517375,,,,12%,,,,92.4,,87.8,,,92.1,81.5,,,,86.7,,,-4.08,,0.60,,,-9.25,7.99,,,,-8.86,,,8.98,,3.86,,,4.78,0.49,,,,3.22,,,-7.74,,-2.08,,,1.86,-4.67,,,,-10.22,,
Kyle Gibson,STL,2024,36,8,8,169.2,1.5,4.24,4.9,4.42,4.19,0.248,1.35,0.29,21%,9%,71%,21%,45%,35%,43%,35%,22%,17%,48%,35%,9%,8,3.6,2.2,1.2,1.3,0.1,88.2,12,,13%,,21%,,,26%,0.20658466,9%,,,10%,,,,91.4,,88.6,,,90.7,80.7,78.3,,,84.9,,,-3.19,,0.82,,,-8.13,6.26,3.04,,,-7.79,,,9.42,,5.28,,,4.69,0.10,-5.07,,,3.10,,,-5.10,,1.23,,,1.58,5.26,-5.27,,,3.31,,
Chris Stratton,KCR,2024,33,4,3,58.1,-0.2,5.55,4.9,4.62,5.17,0.24,1.47,0.279,17%,13%,62%,19%,45%,36%,38%,33%,28%,19%,52%,29%,8%,6.8,5.1,1.3,0.8,1.2,0.1,87.1,11,,38%,,,,,9%,0.20904523,22%,,,10%,,,,91.8,,,,,91.7,86.0,79.2,,,85.1,,,-4.25,,,,,-8.56,1.84,8.85,,,-8.50,,,8.76,,,,,4.19,1.05,-4.56,,,1.85,,,-2.26,,,,,-1.03,0.72,1.04,,,-0.47,,
Bailey Falter,PIT,2024,27,8,9,142.1,1.7,4.43,4.9,4.3,4.71,0.254,1.29,0.281,16%,8%,70%,22%,36%,42%,37%,34%,29%,14%,53%,32%,9%,6.1,2.8,2.2,1.1,0.9,0.1,90.1,17,,48%,,,1%,,14%,0.21572298,15%,,,,,,,91.8,,,86.9,,92.0,86.1,77.7,,,,,,1.93,,,4.53,,4.99,-1.35,-1.64,,,,,,10.22,,,8.71,,9.80,3.77,-2.06,,,,,,3.89,,,-0.84,,3.75,1.25,-4.01,,,,,
Roansy Contreras,TEX,2024,24,2,4,68.1,-0.4,4.35,4.9,5.16,4.9,0.24,1.38,0.265,19%,10%,75%,15%,44%,40%,42%,35%,23%,16%,48%,35%,10%,7.4,4.1,1.8,1.4,1.1,0.1,89.8,11.3,,38%,,,,,10%,0.32372093,9%,,,11%,,,,94.7,,,,,94.5,84.5,77.9,,,89.0,,,-3.25,,,,,-7.98,3.12,4.74,,,-9.16,,,10.20,,,,,8.84,1.18,-6.88,,,6.27,,,4.92,,,,,-1.54,-4.92,1.15,,,-2.07,,
Lance Lynn,STL,2024,37,7,4,117.1,1.3,3.84,4.93,4.31,4.39,0.244,1.34,0.287,21%,9%,70%,23%,36%,41%,38%,37%,24%,16%,53%,31%,10%,8.4,3.4,2.5,1.2,0.9,0.1,88.9,17,,47%,,22%,,,17%,0.01275135,6%,,,6%,,,,92.3,,88.1,,,91.2,82.0,80.4,,,84.8,,,-3.24,,-0.07,,,-8.27,7.11,2.95,,,-8.60,,,7.49,,3.31,,,5.08,-0.05,-4.68,,,4.25,,,8.34,,-4.67,,,-1.57,-0.42,-2.51,,,-3.16,,
Merrill Kelly,ARI,2024,35,5,1,73.2,0.7,4.03,4.93,4.25,3.89,0.24,1.17,0.273,21%,6%,73%,21%,42%,36%,46%,33%,21%,13%,53%,33%,11%,7.7,2.3,3.3,1.3,1.2,0.1,90.4,11.2,,20%,,25%,,,15%,0.11764706,8%,,,21%,,,,91.9,,90.3,,,92.3,85.6,82.2,,,88.4,,,-5.20,,-1.35,,,-9.20,0.88,4.45,,,-8.57,,,8.41,,6.26,,,4.13,1.51,-5.58,,,0.85,,,-1.71,,0.04,,,-5.47,-0.24,-1.57,,,10.68,,
Bryan Hoeing,SDP,2024,27,2,3,53.2,0.6,2.18,4.93,3.32,3.5,0.219,1.06,0.262,20%,7%,82%,25%,48%,27%,44%,33%,22%,14%,54%,32%,8%,7.2,2.3,3.1,0.7,1.8,0.1,90.9,7.2,,6%,,,21%,,51%,0.22890026,,,,,,,,94.3,,,86.8,,93.9,83.0,,,,,,,-6.94,,,-4.64,,-10.42,0.35,,,,,,,6.12,,,1.13,,4.44,-1.86,,,,,,,-0.16,,,5.52,,4.15,0.15,,,,,,
Jordan Hicks,SFG,2024,27,4,7,109.2,0.5,4.1,4.97,4.37,4.34,0.264,1.45,0.315,20%,10%,75%,18%,51%,31%,42%,36%,22%,12%,54%,34%,9%,7.9,3.9,2,1,1.6,0.1,89.6,8.9,,5%,,,19%,,51%,0.24055158,,,,,,,,95.4,,,84.3,,94.5,81.1,,,,,,,-6.60,,,-3.55,,-9.65,6.23,,,,,,,7.58,,,-0.45,,3.39,1.56,,,,,,,-4.08,,,-1.54,,-0.17,-0.48,,,,,,
Javier Assad,CHC,2024,26,7,6,147,1,3.73,4.97,4.64,4.61,0.251,1.4,0.289,19%,10%,80%,18%,44%,39%,37%,36%,26%,15%,55%,30%,9%,7.6,3.9,2,1.2,1.1,0.1,89.1,13.3,,16%,,22%,,,36%,0.10677699,12%,,,5%,,,,91.5,,87.9,,,91.4,80.1,76.8,,,83.7,,,-3.68,,1.52,,,-8.19,7.20,6.05,,,-7.50,,,9.62,,5.00,,,6.60,0.18,-5.45,,,4.99,,,-3.67,,-3.97,,,4.60,-4.16,-1.19,,,-1.93,,
Alec Marsh,KCR,2024,26,9,9,129,1.4,4.53,4.97,4.34,4.22,0.247,1.26,0.292,22%,7%,70%,21%,38%,41%,42%,33%,25%,18%,49%,33%,10%,8.6,2.7,3.2,1.3,0.9,0.1,89.7,15,,37%,,,,,14%,0.22767237,16%,,,10%,,,,94.2,,,,,93.6,86.5,82.8,,,86.3,,,-6.11,,,,,-10.22,2.09,3.71,,,-9.01,,,8.67,,,,,4.25,0.22,-3.97,,,2.18,,,2.75,,,,,-3.48,-2.82,-4.27,,,1.81,,
Jack Kochanowicz,LAA,2024,23,2,6,65.1,0.6,3.99,4.97,4.62,4.48,0.274,1.19,0.282,9%,4%,73%,19%,57%,24%,39%,41%,20%,15%,50%,35%,6%,3.4,1.4,2.5,1,2.3,0.1,90.3,3.6,,6%,,,,,72%,,18%,,,3%,,,,96.3,,,,,95.8,,85.0,,,88.3,,,-5.97,,,,,-9.38,,4.28,,,-7.03,,,7.61,,,,,1.90,,-0.28,,,2.43,,,-0.99,,,,,5.51,,-1.67,,,-0.87,,
Hunter Harvey,KCR,2024,29,2,4,50.2,0.7,4.44,5,3.52,3.52,0.258,1.32,0.333,25%,7%,68%,25%,45%,30%,45%,29%,27%,14%,49%,37%,9%,9.8,2.8,3.4,0.9,1.5,0.1,90.4,10.9,,63%,,,23%,,,0.04656319,9%,,,,,,,97.8,,,89.2,,,85.7,82.3,,,,,,-4.70,,,-6.23,,,0.72,3.30,,,,,,9.79,,,2.20,,,-0.60,-6.23,,,,,,1.05,,,-2.43,,,-2.95,0.56,,,,,
Justin Anderson,CHW,2024,31,1,2,53.1,0.2,4.39,5,4.22,4.76,0.232,1.5,0.297,24%,13%,71%,20%,38%,42%,39%,40%,21%,17%,49%,34%,9%,9.6,5.4,1.8,0.8,0.9,0.1,87.3,15.4,,33%,,8%,,,14%,0.45406547,,,,,,,,96.0,,92.4,,,94.8,85.6,,,,,,,-5.84,,-0.91,,,-9.69,4.52,,,,,,,9.07,,4.76,,,5.57,1.24,,,,,,,1.34,,-1.03,,,-0.27,-0.02,,,,,,
Kyle Freeland,COL,2024,31,5,8,113.1,0.9,5.24,5.03,4.9,4.38,0.289,1.41,0.315,17%,5%,68%,20%,40%,40%,42%,35%,22%,16%,50%,35%,11%,6.8,2.1,3.3,1.7,1,0.1,90.3,15.2,,20%,,,,,25%,0.22724703,,19%,,14%,,,,91.6,,,,,91.4,86.9,,83.5,,86.1,,,5.07,,,,,8.57,0.87,,-0.07,,7.65,,,8.32,,,,,4.40,3.56,,-2.80,,3.75,,,-5.39,,,,,-5.75,-4.48,,0.22,,-3.98,,
Hogan Harris,OAK,2024,27,4,4,72.1,0.5,2.86,5.03,4.23,4.69,0.242,1.35,0.289,20%,11%,79%,23%,37%,40%,38%,39%,23%,13%,56%,32%,7%,7.6,4.1,1.8,0.9,0.9,0.1,88.9,15.6,,56%,,,,,,0.11541632,16%,,,16%,,,,92.9,,,,,,78.8,72.4,,,81.1,,,6.60,,,,,,-5.70,-5.27,,,10.72,,,9.94,,,,,,-3.31,-10.56,,,5.62,,,2.27,,,,,,-4.53,-0.78,,,2.44,,
Shawn Armstrong,CHC,2024,33,3,3,66.2,0.7,4.86,5.1,3.57,4.19,0.287,1.53,0.362,22%,8%,69%,25%,36%,39%,31%,38%,31%,18%,49%,33%,9%,8.9,3.4,2.6,0.8,0.9,0.1,88.9,16.7,,33%,,31%,,,27%,0.08205591,,,,,,,,93.3,,90.5,,,93.6,84.5,,,,,,,-4.31,,1.85,,,-9.38,6.39,,,,,,,9.31,,5.53,,,6.13,3.09,,,,,,,2.67,,-4.30,,,-4.10,-0.18,,,,,,
Jordan Montgomery,ARI,2024,31,8,7,117,0.6,6.23,5.1,4.48,4.67,0.307,1.65,0.347,16%,8%,64%,24%,42%,34%,43%,38%,19%,14%,52%,35%,6%,6.4,3.4,1.9,1.1,1.2,0.1,88.6,12.2,,17%,,,,,31%,0.01762571,31%,,,19%,,,,92.1,,,,,91.8,84.2,79.2,,,83.1,,,3.58,,,,,8.83,-1.04,-2.01,,,6.14,,,8.92,,,,,6.37,2.39,-3.71,,,7.15,,,-0.07,,,,,-12.54,1.31,-4.89,,,-7.18,,
JoJo Romero,STL,2024,27,7,3,59,-0.1,3.36,5.1,4.27,3.84,0.234,1.15,0.27,21%,7%,81%,20%,49%,31%,43%,30%,26%,15%,54%,31%,11%,7.8,2.4,3.2,1.2,1.6,0.2,89.9,7.9,,10%,,,,,39%,0.33949946,,,,17%,,,,95.1,,,,,94.0,84.0,,,,85.9,,,6.35,,,,,10.55,-6.14,,,,9.12,,,7.54,,,,,2.06,0.39,,,,1.92,,,-2.64,,,,,3.77,6.07,,,,-5.60,,
Austin Gomber,COL,2024,30,5,12,165,1.2,4.75,5.13,4.83,4.5,0.271,1.31,0.29,17%,5%,73%,21%,38%,41%,42%,36%,21%,12%,48%,39%,10%,6.3,2.1,3.1,1.6,0.9,0.1,90.2,15,,40%,,,,,0%,0.16673026,,22%,,21%,,,,90.4,,,,,90.1,83.8,,77.6,,81.1,,,4.95,,,,,8.56,-2.22,,-3.69,,6.23,,,10.07,,,,,9.03,2.20,,-5.95,,6.23,,,-12.97,,,,,-0.86,-0.75,,-0.44,,-0.79,,
Trevor Rogers,BAL,2024,26,2,11,124.1,0.9,4.92,5.13,4.52,4.7,0.279,1.58,0.322,17%,10%,70%,20%,46%,34%,42%,36%,21%,13%,51%,36%,8%,7,4.1,1.7,1,1.4,0.1,90.7,10.4,,32%,,,,,24%,0.20597414,,,,24%,,,,91.9,,,,,91.5,82.4,,,,85.6,,,7.64,,,,,10.99,-1.27,,,,8.96,,,8.58,,,,,4.75,3.11,,,,0.44,,,-1.84,,,,,-1.95,-9.20,,,,-7.04,,
Keider Montero,DET,2024,23,6,6,98.1,-0.1,4.76,5.13,5.15,4.33,0.265,1.33,0.287,19%,8%,74%,24%,39%,37%,44%,32%,24%,13%,52%,35%,8%,7,2.8,2.5,1.7,1.1,0.2,89.1,15.4,,42%,,,,,8%,0.27997228,,11%,,11%,,,,94.8,,,,,94.1,83.5,,78.8,,86.0,,,-4.06,,,,,-8.88,5.06,,7.15,,-9.21,,,9.05,,,,,5.96,-0.71,,-6.25,,3.87,,,-1.13,,,,,1.23,0.07,,-6.34,,-4.37,,
Graham Ashcraft,CIN,2024,26,5,5,77.1,0.6,5.24,5.13,4.82,4.56,0.281,1.5,0.313,16%,8%,68%,20%,49%,32%,37%,36%,27%,15%,56%,28%,8%,6.6,3.1,2.1,1.3,1.5,0.1,90.6,8.8,,,,48%,,,17%,0.31892697,,,,3%,,,,,,95.6,,,94.8,88.4,,,,90.5,,,,,0.45,,,-4.86,4.98,,,,-7.09,,,,,6.03,,,5.68,1.10,,,,2.96,,,,,-10.08,,,-6.29,5.88,,,,-1.51,,
Valente Bellozo,MIA,2024,24,3,4,68.2,-0.1,3.67,5.17,5.73,5.47,0.254,1.31,0.254,15%,7%,86%,19%,30%,52%,40%,32%,28%,18%,45%,37%,11%,5.8,2.8,2.1,2,0.6,0.1,90,22.2,,37%,,25%,,,,0.10329068,13%,,,14%,,,,89.2,,82.8,,,,77.7,73.7,,,81.1,,,-2.72,,2.70,,,,7.83,6.02,,,-9.37,,,9.26,,5.15,,,,2.00,-5.46,,,3.70,,,-1.69,,3.41,,,,0.04,-4.80,,,-4.93,,
Adrian Houser,NYM,2024,31,1,5,69.1,-0.1,5.84,5.2,4.93,5.11,0.271,1.53,0.3,15%,10%,63%,18%,48%,34%,42%,33%,25%,14%,56%,31%,9%,5.8,4.2,1.4,1,1.4,0.1,91,9.3,,17%,,,,,44%,0.17329797,9%,,,13%,,,,93.6,,,,,92.5,83.2,79.6,,,84.1,,,-5.70,,,,,-10.04,2.72,4.50,,,-8.90,,,9.36,,,,,4.77,0.51,-7.38,,,2.80,,,1.19,,,,,1.27,-3.28,-4.44,,,-3.33,,
Dane Dunning,TEX,2024,29,5,7,95,-0.1,5.31,5.24,5.17,4.41,0.259,1.44,0.297,22%,10%,70%,18%,44%,38%,50%,34%,16%,13%,53%,35%,11%,8.6,3.8,2.3,1.7,1.1,0.2,90.4,13.6,,3%,,19%,,0%,38%,0.23445826,,5%,,12%,,,,89.2,,88.1,,76.4,89.7,80.6,,75.6,,85.0,,,-5.02,,-0.87,,-9.239215851,-9.19,0.66,,5.50,,-10.71,,,8.39,,6.16,,-0.17,4.16,-0.46,,-9.64,,3.26,,,-1.25,,-2.31,,-0.06,-0.03,-5.72,,0.07,,-2.57,,
