Name,Team,Season,Age,W,L,IP,WAR,ERA,xERA,FIP,xFIP,AVG,WHIP,BABIP,K%,BB%,LOB%,LD%,GB%,FB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Barrel%,K/9,BB/9,K/BB,HR/9,GB/FB,HR/FB,EV,LA,,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc)
Gavin Williams,CLE,2024,24,3,10,76,1.3,4.86,4.14,3.67,4.12,0.242,1.37,0.308,24%,10%,67%,21%,41%,38%,35%,33%,32%,14%,54%,32%,7%,9.4,3.8,2.5,0.8,1.1,0.1,90.8,13.2,,51%,,12%,,,,0.11330409,20%,,,5%,,,,96.6,,91.6,,,,88.6,79.5,,,89.2,,,-7.29,,-0.52,,,,0.61,5.05,,,-9.51,,,8.93,,4.05,,,,3.53,-8.28,,,5.14,,,0.59,,0.91,,,,-0.25,-0.02,,,-2.82,,
Ryan Yarbrough,TOR,2024,32,5,2,98.2,-0.1,3.19,4.16,4.64,4.84,0.198,1.03,0.212,16%,8%,79%,21%,41%,38%,40%,35%,25%,18%,57%,25%,6%,5.9,2.9,2,1,1.1,0.1,86,14.3,,22%,,10%,,,26%,,27%,,,16%,,,,86.5,,83.8,,,86.0,,71.3,,,77.4,,,9.63,,1.75,,,10.26,,-7.34,,,9.90,,,5.15,,4.63,,,2.42,,2.85,,,1.11,,,3.62,,-6.44,,,7.89,,6.28,,,0.98,,
Jason Foley,DET,2024,28,3,6,60,0.2,3.15,4.16,3.82,4.09,0.224,1.18,0.26,18%,8%,68%,23%,47%,30%,32%,45%,23%,12%,51%,37%,7%,6.9,3,2.3,0.8,1.6,0.1,89.5,7.5,,8%,,,,,55%,0.31491713,,,,6%,,,,97.2,,,,,96.9,88.5,,,,92.2,,,-7.40,,,,,-9.94,0.59,,,,-9.10,,,7.37,,,,,3.84,0.95,,,,2.13,,,0.81,,,,,-0.90,8.23,,,,-0.66,,
Elvis Peguero,MIL,2024,27,7,4,51.1,0.1,2.98,4.16,4.04,4.12,0.263,1.54,0.327,21%,12%,78%,18%,57%,25%,34%,39%,26%,15%,55%,30%,5%,8.2,4.7,1.7,0.7,2.3,0.1,90.1,3.2,,,,,,,49%,0.50542823,0%,,,,,,,,,,,,96.8,90.1,69.1,,,,,,,,,,,-10.36,1.14,-1.59,,,,,,,,,,,2.77,-0.74,-1.37,,,,,,,,,,,-1.05,2.31,-0.04,,,,,
Colin Holderman,PIT,2024,28,3,6,51.1,0.2,3.16,4.16,4.26,4.42,0.218,1.31,0.275,25%,11%,77%,21%,38%,42%,41%,30%,29%,20%,47%,33%,11%,9.8,4.4,2.2,1.1,0.9,0.1,87.6,15.7,,1%,,26%,,,26%,0.47640967,,,,,,,,97.3,,92.1,,,97.2,84.7,,,,,,,-4.06,,0.39,,,-9.17,4.57,,,,,,,6.63,,4.53,,,4.86,4.31,,,,,,,0.12,,-3.25,,,-1.75,4.25,,,,,,
Hayden Wesneski,CHC,2024,26,3,6,67.2,0.2,3.86,4.16,4.51,3.93,0.215,1.14,0.243,24%,7%,68%,15%,45%,40%,40%,32%,28%,21%,52%,26%,9%,8.9,2.8,3.2,1.6,1.1,0.2,87.6,10.8,,36%,,9%,,,11%,0.4055814,,,,3%,,,,94.6,,88.1,,,93.5,82.4,,,,87.2,,,-3.11,,2.62,,,-7.94,9.40,,,,-7.31,,,7.33,,1.65,,,5.72,-1.03,,,,4.39,,,-2.67,,3.21,,,-0.67,2.59,,,,0.53,,
Brent Suter,CIN,2024,34,1,0,65.2,0.2,3.15,4.19,4.31,4.19,0.247,1.14,0.272,19%,4%,83%,19%,41%,40%,36%,34%,30%,19%,56%,26%,7%,6.9,1.6,4.2,1.4,1,0.1,86.1,13.8,,43%,,,,,21%,0.16324536,,,,20%,,,,85.8,,,,,87.4,78.4,,,,75.5,,,-1.57,,,,,6.40,-1.29,,,,5.80,,,7.43,,,,,7.79,-0.08,,,,6.71,,,2.96,,,,,0.45,-2.01,,,,1.12,,
Chad Kuhl,CHW,2024,31,0,2,53.1,0.3,5.06,4.19,4.1,4.3,0.268,1.52,0.34,23%,10%,68%,23%,44%,33%,40%,34%,25%,17%,56%,27%,6%,9.1,4.2,2.2,0.8,1.3,0.1,88.4,10.1,,9%,,9%,,,23%,0.4587156,,,,13%,,,,95.0,,91.5,,,94.0,85.0,,,,87.4,,,-8.73,,-2.23,,,-9.85,3.23,,,,-9.03,,,6.16,,5.29,,,2.90,0.52,,,,0.25,,,-1.39,,-2.43,,,-4.89,5.47,,,,-1.34,,
Tobias Myers,MIL,2024,25,9,6,138,2.2,3,4.19,3.91,3.97,0.239,1.17,0.282,22%,6%,81%,22%,38%,41%,42%,32%,26%,13%,56%,31%,8%,8.3,2.3,3.5,1.2,0.9,0.1,89.7,16.3,,40%,,23%,,,0%,0.20976744,4%,,,11%,,,,92.9,,89.2,,,91.5,85.5,77.8,,,81.1,,,-3.14,,1.51,,,-6.11,2.03,0.79,,,-6.88,,,11.13,,7.36,,,10.86,2.17,-3.98,,,7.26,,,4.99,,-3.68,,,1.13,6.45,-2.81,,,2.90,,
MacKenzie Gore,WSN,2024,25,10,12,166.1,3.2,3.9,4.19,3.53,3.87,0.261,1.42,0.34,25%,9%,68%,26%,39%,35%,38%,36%,26%,16%,54%,30%,7%,9.8,3.5,2.8,0.8,1.1,0.1,88,13.5,,55%,,,,,,0.15831663,20%,,,9%,,,,96.0,,,,,,90.6,82.8,,,85.9,,,3.99,,,,,,-0.18,0.28,,,7.55,,,10.29,,,,,,4.89,-5.60,,,5.60,,,-0.32,,,,,,-3.67,3.64,,,-3.73,,
